Date,AQI
25-08-2023,97
26-08-2023,54
27-08-2023,100
28-08-2023,58
29-08-2023,102
30-08-2023,110
31-08-2023,60
01-09-2023,104
02-09-2023,89
03-09-2023,99
04-09-2023,125
05-09-2023,71
06-09-2023,58
07-09-2023,54
08-09-2023,55
09-09-2023,73
10-09-2023,83
11-09-2023,81
12-09-2023,94
13-09-2023,74
14-09-2023,109
15-09-2023,66
16-09-2023,140
17-09-2023,87
18-09-2023,50
19-09-2023,50
20-09-2023,83
21-09-2023,65
22-09-2023,88
23-09-2023,82
24-09-2023,68
25-09-2023,50
26-09-2023,50
27-09-2023,59
28-09-2023,91
29-09-2023,75
30-09-2023,50
01-10-2023,74
02-10-2023,79
03-10-2023,50
04-10-2023,73
05-10-2023,71
06-10-2023,50
07-10-2023,79
08-10-2023,84
09-10-2023,97
10-10-2023,97
11-10-2023,50
12-10-2023,50
13-10-2023,84
14-10-2023,84
15-10-2023,85
16-10-2023,169
17-10-2023,87
18-10-2023,101
19-10-2023,97
20-10-2023,90
21-10-2023,66
22-10-2023,94
23-10-2023,56
24-10-2023,70
25-10-2023,64
26-10-2023,79
27-10-2023,135
28-10-2023,50
29-10-2023,96
30-10-2023,50
31-10-2023,68
01-11-2023,108
02-11-2023,83
03-11-2023,55
04-11-2023,65
05-11-2023,101
06-11-2023,66
07-11-2023,91
08-11-2023,87
09-11-2023,71
10-11-2023,142
11-11-2023,105
12-11-2023,50
13-11-2023,95
14-11-2023,75
15-11-2023,114
16-11-2023,74
17-11-2023,92
18-11-2023,108
19-11-2023,118
20-11-2023,68
21-11-2023,90
22-11-2023,88
23-11-2023,84
24-11-2023,146
25-11-2023,113
26-11-2023,73
27-11-2023,128
28-11-2023,160
29-11-2023,133
30-11-2023,71
01-12-2023,98
02-12-2023,143
03-12-2023,95
04-12-2023,125
05-12-2023,134
06-12-2023,93
07-12-2023,116
08-12-2023,50
09-12-2023,94
10-12-2023,115
11-12-2023,91
12-12-2023,165
13-12-2023,89
14-12-2023,115
15-12-2023,131
16-12-2023,165
17-12-2023,95
18-12-2023,161
19-12-2023,133
20-12-2023,110
21-12-2023,147
22-12-2023,142
23-12-2023,124
24-12-2023,142
25-12-2023,132
26-12-2023,145
27-12-2023,161
28-12-2023,185
29-12-2023,116
30-12-2023,201
31-12-2023,101
01-01-2024,147
02-01-2024,167
03-01-2024,161
04-01-2024,139
05-01-2024,151
06-01-2024,145
07-01-2024,144
08-01-2024,182
09-01-2024,171
10-01-2024,146
11-01-2024,187
12-01-2024,174
13-01-2024,188
14-01-2024,184
15-01-2024,149
16-01-2024,157
17-01-2024,191
18-01-2024,189
19-01-2024,175
20-01-2024,179
21-01-2024,210
22-01-2024,164
23-01-2024,194
24-01-2024,177
25-01-2024,177
26-01-2024,212
27-01-2024,206
28-01-2024,207
29-01-2024,220
30-01-2024,190
31-01-2024,207
01-02-2024,184
02-02-2024,201
03-02-2024,190
04-02-2024,197
05-02-2024,211
06-02-2024,177
07-02-2024,250
08-02-2024,174
09-02-2024,170
10-02-2024,230
11-02-2024,222
12-02-2024,219
13-02-2024,220
14-02-2024,205
15-02-2024,184
16-02-2024,209
17-02-2024,191
18-02-2024,234
19-02-2024,206
20-02-2024,190
21-02-2024,204
22-02-2024,223
23-02-2024,200
24-02-2024,194
25-02-2024,221
26-02-2024,222
27-02-2024,204
28-02-2024,206
29-02-2024,224
01-03-2024,183
02-03-2024,184
03-03-2024,202
04-03-2024,216
05-03-2024,229
06-03-2024,259
07-03-2024,244
08-03-2024,219
09-03-2024,223
10-03-2024,199
11-03-2024,224
12-03-2024,218
13-03-2024,234
14-03-2024,205
15-03-2024,239
16-03-2024,265
17-03-2024,224
18-03-2024,237
19-03-2024,245
20-03-2024,218
21-03-2024,234
22-03-2024,229
23-03-2024,231
24-03-2024,210
25-03-2024,230
26-03-2024,242
27-03-2024,266
28-03-2024,253
29-03-2024,283
30-03-2024,210
31-03-2024,251
01-04-2024,234
02-04-2024,284
03-04-2024,209
04-04-2024,208
05-04-2024,214
06-04-2024,176
07-04-2024,216
08-04-2024,210
09-04-2024,232
10-04-2024,237
11-04-2024,275
12-04-2024,252
13-04-2024,213
14-04-2024,205
15-04-2024,239
16-04-2024,194
17-04-2024,272
18-04-2024,255
19-04-2024,214
20-04-2024,182
21-04-2024,258
22-04-2024,221
23-04-2024,254
24-04-2024,183
25-04-2024,207
26-04-2024,222
27-04-2024,222
28-04-2024,209
29-04-2024,235
30-04-2024,193
01-05-2024,215
02-05-2024,221
03-05-2024,230
04-05-2024,234
05-05-2024,187
06-05-2024,176
07-05-2024,246
08-05-2024,222
09-05-2024,194
10-05-2024,250
11-05-2024,214
12-05-2024,239
13-05-2024,210
14-05-2024,259
15-05-2024,251
16-05-2024,200
17-05-2024,229
18-05-2024,220
19-05-2024,237
20-05-2024,178
21-05-2024,218
22-05-2024,226
23-05-2024,155
24-05-2024,168
25-05-2024,146
26-05-2024,189
27-05-2024,212
28-05-2024,231
29-05-2024,194
30-05-2024,232
31-05-2024,155
01-06-2024,146
02-06-2024,186
03-06-2024,196
04-06-2024,184
05-06-2024,132
06-06-2024,180
07-06-2024,148
08-06-2024,196
09-06-2024,188
10-06-2024,154
11-06-2024,163
12-06-2024,148
13-06-2024,172
14-06-2024,196
15-06-2024,146
16-06-2024,182
17-06-2024,155
18-06-2024,147
19-06-2024,163
20-06-2024,138
21-06-2024,149
22-06-2024,131
23-06-2024,209
24-06-2024,159
25-06-2024,140
26-06-2024,161
27-06-2024,152
28-06-2024,147
29-06-2024,167
30-06-2024,169
01-07-2024,136
02-07-2024,133
03-07-2024,139
04-07-2024,87
05-07-2024,105
06-07-2024,176
07-07-2024,182
08-07-2024,133
09-07-2024,152
10-07-2024,144
11-07-2024,212
12-07-2024,162
13-07-2024,129
14-07-2024,107
15-07-2024,90
16-07-2024,133
17-07-2024,108
18-07-2024,90
19-07-2024,108
20-07-2024,96
21-07-2024,164
22-07-2024,143
23-07-2024,119
24-07-2024,155
25-07-2024,119
26-07-2024,94
27-07-2024,152
28-07-2024,127
29-07-2024,86
30-07-2024,106
31-07-2024,88
01-08-2024,74
02-08-2024,130
03-08-2024,154
04-08-2024,70
05-08-2024,118
06-08-2024,86
07-08-2024,89
08-08-2024,85
09-08-2024,78
10-08-2024,99
11-08-2024,76
12-08-2024,103
13-08-2024,94
14-08-2024,88
15-08-2024,70
16-08-2024,78
17-08-2024,110
18-08-2024,103
19-08-2024,65
20-08-2024,91
21-08-2024,106
22-08-2024,50
23-08-2024,99
24-08-2024,68
25-08-2024,98
26-08-2024,64
27-08-2024,50
28-08-2024,50
29-08-2024,82
30-08-2024,87
31-08-2024,57
01-09-2024,95
02-09-2024,50
03-09-2024,76
04-09-2024,50
05-09-2024,60
06-09-2024,77
07-09-2024,54
08-09-2024,65
09-09-2024,100
10-09-2024,60
11-09-2024,95
12-09-2024,50
13-09-2024,86
14-09-2024,108
15-09-2024,50
16-09-2024,52
17-09-2024,86
18-09-2024,66
19-09-2024,80
20-09-2024,56
21-09-2024,73
22-09-2024,66
23-09-2024,99
24-09-2024,76
25-09-2024,78
26-09-2024,59
27-09-2024,57
28-09-2024,59
29-09-2024,79
30-09-2024,59
01-10-2024,77
02-10-2024,121
03-10-2024,91
04-10-2024,62
05-10-2024,100
06-10-2024,60
07-10-2024,50
08-10-2024,50
09-10-2024,50
10-10-2024,62
11-10-2024,71
12-10-2024,113
13-10-2024,80
14-10-2024,66
15-10-2024,93
16-10-2024,50
17-10-2024,79
18-10-2024,93
19-10-2024,50
20-10-2024,103
21-10-2024,83
22-10-2024,65
23-10-2024,92
24-10-2024,133
25-10-2024,81
26-10-2024,84
27-10-2024,67
28-10-2024,58
29-10-2024,100
30-10-2024,59
31-10-2024,83
01-11-2024,70
02-11-2024,94
03-11-2024,91
04-11-2024,110
05-11-2024,72
06-11-2024,79
07-11-2024,62
08-11-2024,76
09-11-2024,97
10-11-2024,108
11-11-2024,67
12-11-2024,112
13-11-2024,125
14-11-2024,103
15-11-2024,140
16-11-2024,75
17-11-2024,64
18-11-2024,52
19-11-2024,135
20-11-2024,115
21-11-2024,98
22-11-2024,108
23-11-2024,74
24-11-2024,164
25-11-2024,107
26-11-2024,108
27-11-2024,125
28-11-2024,120
29-11-2024,114
30-11-2024,90
01-12-2024,123
02-12-2024,159
03-12-2024,147
04-12-2024,155
05-12-2024,103
06-12-2024,93
07-12-2024,116
08-12-2024,121
09-12-2024,149
10-12-2024,80
11-12-2024,162
12-12-2024,121
13-12-2024,116
14-12-2024,102
15-12-2024,88
16-12-2024,151
17-12-2024,134
18-12-2024,101
19-12-2024,102
20-12-2024,127
21-12-2024,179
22-12-2024,132
23-12-2024,102
24-12-2024,135
25-12-2024,136
26-12-2024,77
27-12-2024,144
28-12-2024,141
29-12-2024,166
30-12-2024,196
31-12-2024,179
01-01-2025,144
02-01-2025,125
03-01-2025,218
04-01-2025,156
05-01-2025,157
06-01-2025,157
07-01-2025,164
08-01-2025,157
09-01-2025,148
10-01-2025,150
11-01-2025,164
12-01-2025,152
13-01-2025,149
14-01-2025,171
15-01-2025,164
16-01-2025,209
17-01-2025,106
18-01-2025,201
19-01-2025,206
20-01-2025,125
21-01-2025,169
22-01-2025,170
23-01-2025,145
24-01-2025,162
25-01-2025,155
26-01-2025,228
27-01-2025,209
28-01-2025,218
29-01-2025,206
30-01-2025,161
31-01-2025,177
01-02-2025,204
02-02-2025,162
03-02-2025,212
04-02-2025,189
05-02-2025,187
06-02-2025,215
07-02-2025,209
08-02-2025,190
09-02-2025,229
10-02-2025,174
11-02-2025,218
12-02-2025,218
13-02-2025,197
14-02-2025,214
15-02-2025,175
16-02-2025,230
17-02-2025,204
18-02-2025,196
19-02-2025,236
20-02-2025,193
21-02-2025,177
22-02-2025,174
23-02-2025,229
24-02-2025,182
25-02-2025,259
26-02-2025,164
27-02-2025,259
28-02-2025,223
01-03-2025,216
02-03-2025,205
03-03-2025,230
04-03-2025,219
05-03-2025,248
06-03-2025,224
07-03-2025,226
08-03-2025,214
09-03-2025,222
10-03-2025,231
11-03-2025,181
12-03-2025,191
13-03-2025,244
14-03-2025,230
15-03-2025,221
16-03-2025,227
17-03-2025,235
18-03-2025,214
19-03-2025,208
20-03-2025,233
21-03-2025,204
22-03-2025,238
23-03-2025,186
24-03-2025,254
25-03-2025,241
26-03-2025,235
27-03-2025,254
28-03-2025,271
29-03-2025,255
30-03-2025,183
31-03-2025,197
01-04-2025,214
02-04-2025,230
03-04-2025,242
04-04-2025,211
05-04-2025,234
06-04-2025,210
07-04-2025,214
08-04-2025,194
09-04-2025,206
10-04-2025,195
11-04-2025,204
12-04-2025,254
13-04-2025,204
14-04-2025,293
15-04-2025,240
16-04-2025,232
17-04-2025,205
18-04-2025,244
19-04-2025,211
20-04-2025,228
21-04-2025,289
22-04-2025,222
23-04-2025,253
24-04-2025,206
25-04-2025,222
26-04-2025,267
27-04-2025,206
28-04-2025,266
29-04-2025,238
30-04-2025,206
01-05-2025,235
02-05-2025,243
03-05-2025,233
04-05-2025,178
05-05-2025,198
06-05-2025,209
07-05-2025,213
08-05-2025,230
09-05-2025,218
10-05-2025,179
11-05-2025,221
12-05-2025,226
13-05-2025,224
14-05-2025,236
15-05-2025,229
16-05-2025,218
17-05-2025,204
18-05-2025,163
19-05-2025,215
20-05-2025,208
21-05-2025,209
22-05-2025,169
23-05-2025,173
24-05-2025,225
25-05-2025,197
26-05-2025,214
27-05-2025,196
28-05-2025,195
29-05-2025,217
30-05-2025,179
31-05-2025,193
01-06-2025,178
02-06-2025,178
03-06-2025,179
04-06-2025,192
05-06-2025,173
06-06-2025,215
07-06-2025,160
08-06-2025,176
09-06-2025,169
10-06-2025,215
11-06-2025,182
12-06-2025,202
13-06-2025,137
14-06-2025,180
15-06-2025,194
16-06-2025,173
17-06-2025,196
18-06-2025,155
19-06-2025,202
20-06-2025,223
21-06-2025,155
22-06-2025,151
23-06-2025,197
24-06-2025,199
25-06-2025,145
26-06-2025,147
27-06-2025,149
28-06-2025,121
29-06-2025,130
30-06-2025,126
01-07-2025,131
02-07-2025,148
03-07-2025,153
04-07-2025,185
05-07-2025,120
06-07-2025,168
07-07-2025,137
08-07-2025,139
09-07-2025,156
10-07-2025,110
11-07-2025,146
12-07-2025,139
13-07-2025,146
14-07-2025,140
15-07-2025,192
16-07-2025,114
17-07-2025,115
18-07-2025,112
19-07-2025,112
20-07-2025,109
21-07-2025,153
22-07-2025,157
23-07-2025,106
24-07-2025,98
25-07-2025,130
26-07-2025,103
27-07-2025,131
28-07-2025,119
29-07-2025,75
30-07-2025,150
31-07-2025,155
01-08-2025,94
02-08-2025,99
03-08-2025,114
04-08-2025,114
05-08-2025,121
06-08-2025,154
07-08-2025,98
08-08-2025,81
09-08-2025,66
10-08-2025,81
11-08-2025,97
12-08-2025,142
13-08-2025,83
14-08-2025,101
15-08-2025,94
16-08-2025,123
17-08-2025,155
18-08-2025,78
19-08-2025,78
20-08-2025,115
21-08-2025,105
22-08-2025,134
23-08-2025,101
24-08-2025,77
25-08-2025,100
26-08-2025,112
27-08-2025,104
28-08-2025,95
29-08-2025,109
30-08-2025,110
31-08-2025,115
01-09-2025,96
02-09-2025,75
03-09-2025,82
04-09-2025,108
05-09-2025,57
06-09-2025,86
07-09-2025,66
08-09-2025,76
09-09-2025,107
10-09-2025,79
11-09-2025,75
12-09-2025,50
13-09-2025,92
14-09-2025,89
15-09-2025,127
16-09-2025,64
17-09-2025,77
18-09-2025,78
19-09-2025,111
20-09-2025,68
21-09-2025,78
22-09-2025,86
23-09-2025,75
24-09-2025,59
25-09-2025,75
26-09-2025,97
27-09-2025,50
28-09-2025,73
29-09-2025,52
30-09-2025,99
01-10-2025,50
02-10-2025,56
03-10-2025,79
04-10-2025,109
05-10-2025,68
06-10-2025,56
07-10-2025,117
08-10-2025,50
09-10-2025,50
10-10-2025,82
11-10-2025,58
12-10-2025,50
13-10-2025,89
14-10-2025,78
15-10-2025,58
16-10-2025,50
17-10-2025,94
18-10-2025,89
19-10-2025,71
20-10-2025,120
21-10-2025,50
22-10-2025,50
23-10-2025,58
24-10-2025,75
25-10-2025,82
26-10-2025,71
27-10-2025,86
28-10-2025,50
29-10-2025,115
30-10-2025,77
31-10-2025,108
01-11-2025,89
02-11-2025,93
03-11-2025,96
04-11-2025,94
05-11-2025,100
06-11-2025,118
07-11-2025,90
08-11-2025,104
09-11-2025,85
10-11-2025,124
11-11-2025,72
12-11-2025,135
13-11-2025,90
14-11-2025,56
15-11-2025,96
16-11-2025,77
17-11-2025,116
18-11-2025,79
19-11-2025,85
20-11-2025,50
21-11-2025,87
22-11-2025,50
23-11-2025,61
24-11-2025,121
25-11-2025,123
26-11-2025,115
27-11-2025,81
28-11-2025,105
29-11-2025,108
30-11-2025,80
01-12-2025,148
02-12-2025,133
03-12-2025,107
04-12-2025,114
05-12-2025,120
06-12-2025,65
07-12-2025,111
08-12-2025,102
09-12-2025,95
10-12-2025,114
11-12-2025,167
12-12-2025,140
13-12-2025,111
14-12-2025,141
15-12-2025,163
16-12-2025,152
17-12-2025,132
18-12-2025,116
19-12-2025,151
20-12-2025,144
21-12-2025,158
22-12-2025,153
23-12-2025,165
24-12-2025,127
25-12-2025,174
26-12-2025,148
27-12-2025,196
28-12-2025,128
29-12-2025,190
30-12-2025,153
31-12-2025,133
01-01-2026,139
02-01-2026,144
03-01-2026,164
04-01-2026,168
05-01-2026,142
06-01-2026,157
07-01-2026,213
08-01-2026,204
09-01-2026,173
10-01-2026,164
11-01-2026,168
12-01-2026,181
13-01-2026,142
14-01-2026,162
15-01-2026,128
16-01-2026,181
17-01-2026,189
18-01-2026,162
19-01-2026,215
20-01-2026,146
21-01-2026,141
22-01-2026,185
23-01-2026,207
24-01-2026,224
25-01-2026,171
26-01-2026,211
27-01-2026,184
28-01-2026,182
29-01-2026,210
30-01-2026,205
31-01-2026,151
01-02-2026,228
02-02-2026,227
03-02-2026,178
04-02-2026,205
05-02-2026,208
06-02-2026,204
07-02-2026,184
08-02-2026,182
09-02-2026,200
10-02-2026,231
11-02-2026,216
12-02-2026,194
13-02-2026,224
14-02-2026,134
15-02-2026,235
16-02-2026,164
17-02-2026,199
18-02-2026,181
19-02-2026,178
20-02-2026,240
21-02-2026,200
22-02-2026,221
23-02-2026,212
24-02-2026,226
25-02-2026,217
26-02-2026,184
27-02-2026,242
28-02-2026,205
01-03-2026,179
02-03-2026,208
03-03-2026,257
04-03-2026,241
05-03-2026,212
06-03-2026,213
07-03-2026,214
08-03-2026,275
09-03-2026,233
10-03-2026,234
11-03-2026,250
12-03-2026,231
13-03-2026,219
14-03-2026,221
15-03-2026,224
16-03-2026,225
17-03-2026,245
18-03-2026,228
19-03-2026,246
20-03-2026,226
21-03-2026,230
